,clean_text,Dominant_Topic
0,historical aspect indian subcontinent article pre history indian subcontinent,5
1,post history see history india present,4
2,accord consensus modern genetics anatomically modern human first arrive indian subcontinent africa year ago,4
3,however early know human remain south asia date year ago,5
4,settle life involve transition forage farm pastoralism begin south asia around bce,5
5,site mehrgarh presence document domestication wheat barley rapidly follow goat sheep cattle,2
6,bce settle life spread widely begin gradually evolve indus valley civilization early civilization old world contemporaneous ancient egypt mesopotamia,5
7,civilisation flourish bce bce today pakistan north western india note urban planning bake brick house elaborate drainage water supply early second millennium bce persistent drought cause population indus valley scatter large urban centre village,0
8,around time indo aryan tribe move punjab central asia several wave migration,2
9,vedic period bce mark composition veda large collection hymn tribe,1
10,varna system evovled caste system consist hierarchy priest warrior free peasant exclude indigenous people label occupation impure,3
11,pastoral nomadic indo aryan spread punjab gangetic plain large swath deforest agriculture usage,1
12,composition vedic text end around bce new interregional culture arise,0
13,small chieftaincy janapadas consolidated large state mahajanapadas second urbanisation take place,5
14,urbanisation accompany rise new ascetic movement great magadha include jainism buddhism oppose grow influence brahmanism primacy ritual preside brahmin priest come associate vedic religion give rise new religious concept,0
15,response succes movement vedic brahmanism synthesise preexist religious culture subcontinent give rise hinduism,0
16,,5
17,indian subcontinent conquer maurya empire th rd century bce,5
18,rd century bce onwards prakrit pali literature north tamil sangam literature southern india start flourish wootz steel originate south india rd century bce export foreign country classical period various part india rule numerous dynasty next year among gupta empire stand,0
19,period witness hindu religious intellectual resurgence know classical golden age india,0
20,period aspect indian civilisation administration culture religion hinduism buddhism spread much asia kingdom southern india maritime business link middle east mediterranean,5
21,indian cultural influence spread many part southeast asia lead establishment indianised kingdom southeast asia great india significant event th th century tripartite struggle centre kannauj last two century pala empire rashtrakuta empire gurjara pratihara empire,1
22,southern india saw rise multiple imperial power middle fifth century notably chalukya chola pallava chera pandyan western chalukya empire,4
23,chola dynasty conquer southern india successfully invaded part southeast asia sri lanka maldives bengal th century,5
24,early medieval period indian mathematics include hindu numeral influence development mathematics astronomy arab world islamic conquest make limited inroad modern afghanistan sindh early th century follow invasion mahmud ghazni,5
25,delhi sultanate found ce central asian turk rule major part northern indian subcontinent early th century decline late th century saw advent deccan sultanate,3
26,wealthy bengal sultanate also emerge major power last three century,0
27,period also saw emergence several powerful hindu state notably vijayanagara rajput state mewar,1
28,th century saw advent sikhism,4
