,Keywords,Topic_Perc_Contrib,Dominant_Topic
0,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.8363999724388123,5.0
1,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.38659998774528503,5.0
2,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.6672000288963318,2.0
3,"defeat, india, team, point, tournament, year, many, contain, match, war",0.4616999924182892,1.0
4,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.8091999888420105,5.0
5,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.9010999798774719,2.0
6,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.7631999850273132,5.0
7,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.6466000080108643,5.0
8,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.5115000009536743,5.0
9,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.8773999810218811,5.0
10,"defeat, india, team, point, tournament, year, many, contain, match, war",0.9165999889373779,1.0
11,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.9021000266075134,5.0
12,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.5708000063896179,5.0
13,"mar, water, surface, earth, crater, large, ice, name, area, small",0.8845000267028809,0.0
14,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.6901999711990356,2.0
15,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.7512999773025513,4.0
16,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.20489999651908875,5.0
17,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.8353000283241272,5.0
18,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.9361000061035156,5.0
19,"defeat, india, team, point, tournament, year, many, contain, match, war",0.5206000208854675,1.0
20,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.5776000022888184,4.0
21,"defeat, india, team, point, tournament, year, many, contain, match, war",0.47839999198913574,1.0
22,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.8094000220298767,4.0
23,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.8873999714851379,5.0
24,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.5335000157356262,2.0
25,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.7833999991416931,5.0
26,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.5644999742507935,5.0
27,"defeat, india, team, point, tournament, year, many, contain, match, war",0.5907999873161316,1.0
28,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.4068000018596649,5.0
29,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.9467999935150146,5.0
30,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.8537999987602234,4.0
31,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.6901999711990356,4.0
32,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.8497999906539917,5.0
33,"defeat, india, team, point, tournament, year, many, contain, match, war",0.7677000164985657,1.0
34,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.8774999976158142,5.0
35,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.6861000061035156,2.0
36,"mar, water, surface, earth, crater, large, ice, name, area, small",0.4814999997615814,0.0
37,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.20489999651908875,5.0
38,"defeat, india, team, point, tournament, year, many, contain, match, war",0.4546000063419342,1.0
39,"defeat, india, team, point, tournament, year, many, contain, match, war",0.7135999798774719,1.0
40,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.7232999801635742,2.0
41,"defeat, india, team, point, tournament, year, many, contain, match, war",0.7099000215530396,1.0
42,"defeat, india, team, point, tournament, year, many, contain, match, war",0.802299976348877,1.0
43,"defeat, india, team, point, tournament, year, many, contain, match, war",0.7031000256538391,1.0
44,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.20489999651908875,5.0
45,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.4796999990940094,2.0
46,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.6478999853134155,5.0
47,"mar, water, surface, earth, crater, large, ice, name, area, small",0.6836000084877014,0.0
48,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.20489999651908875,5.0
49,"defeat, india, team, point, tournament, year, many, contain, match, war",0.7735000252723694,1.0
50,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.20489999651908875,5.0
51,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.46880000829696655,3.0
52,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.20489999651908875,5.0
53,"defeat, india, team, point, tournament, year, many, contain, match, war",0.5981000065803528,1.0
54,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.4309000074863434,2.0
55,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.6991999745368958,4.0
56,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.5372999906539917,5.0
57,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.6245999932289124,3.0
58,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.3978999853134155,4.0
59,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.8034999966621399,2.0
60,"defeat, india, team, point, tournament, year, many, contain, match, war",0.36739999055862427,1.0
61,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.7692000269889832,2.0
62,"defeat, india, team, point, tournament, year, many, contain, match, war",0.6223000288009644,1.0
63,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.6820999979972839,5.0
64,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.421999990940094,2.0
65,"mar, water, surface, earth, crater, large, ice, name, area, small",0.38589999079704285,0.0
66,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.8230999708175659,2.0
67,"defeat, india, team, point, tournament, year, many, contain, match, war",0.5990999937057495,1.0
68,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.20489999651908875,5.0
69,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.7544999718666077,2.0
70,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.5400999784469604,3.0
71,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.9135000109672546,5.0
72,"mar, water, surface, earth, crater, large, ice, name, area, small",0.5407999753952026,0.0
73,"mar, water, surface, earth, crater, large, ice, name, area, small",0.8999000191688538,0.0
74,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.781499981880188,5.0
75,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.7739999890327454,5.0
76,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.4357999861240387,5.0
77,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.7939000129699707,5.0
78,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.7947999835014343,2.0
79,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.5467000007629395,2.0
80,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.8392999768257141,2.0
81,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.7013999819755554,5.0
82,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.6261000037193298,5.0
83,"defeat, india, team, point, tournament, year, many, contain, match, war",0.774399995803833,1.0
84,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.8044000267982483,2.0
85,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.8381999731063843,5.0
86,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.7847999930381775,5.0
87,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.9010999798774719,5.0
88,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.833299994468689,4.0
89,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.4399000108242035,5.0
90,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.4964999854564667,5.0
91,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.5254999995231628,5.0
92,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.939300000667572,5.0
93,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.6043999791145325,2.0
94,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.7451000213623047,4.0
95,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.7591000199317932,5.0
